DATE,NYMEX_PRICE
2024-01-02,2.5257999897003174
2024-01-03,2.6043999195098877
2024-01-04,2.588399887084961
2024-01-05,2.6085000038146973
2024-01-08,2.576900005340576
2024-01-09,2.650399923324585
2024-01-10,2.600600004196167
2024-01-11,2.673799991607666
2024-01-12,2.669300079345703
2024-01-16,2.660599946975708
2024-01-17,2.653599977493286
2024-01-18,2.6935999393463135
2024-01-19,2.662100076675415
2024-01-22,2.69350004196167
2024-01-23,2.6912999153137207
2024-01-24,2.68179988861084
2024-01-25,2.7953999042510986
2024-01-26,2.843400001525879
2024-01-29,2.833899974822998
2024-01-30,2.80679988861084
2024-01-31,2.808199882507324
2024-02-01,2.712899923324585
2024-02-02,2.6600000858306885
2024-02-05,2.7248001098632812
2024-02-06,2.7427000999450684
2024-02-07,2.815200090408325
2024-02-08,2.8907999992370605
2024-02-09,2.964200019836426
2024-02-12,2.919600009918213
2024-02-13,2.895900011062622
2024-02-14,2.8101000785827637
2024-02-15,2.823699951171875
2024-02-16,2.8066000938415527
2024-02-20,2.7314999103546143
2024-02-21,2.705199956893921
2024-02-22,2.752000093460083
2024-02-23,2.68969988822937
2024-02-26,2.762700080871582
2024-02-27,2.746000051498413
2024-02-28,2.6582999229431152
2024-02-29,2.683799982070923
2024-03-01,2.704200029373169
2024-03-04,2.647200107574463
2024-03-05,2.6064999103546143
2024-03-06,2.663300037384033
2024-03-07,2.694700002670288
2024-03-08,2.640899896621704
2024-03-11,2.6517999172210693
2024-03-12,2.616499900817871
2024-03-13,2.6851000785827637
2024-03-14,2.7088000774383545
2024-03-15,2.7269999980926514
2024-03-18,2.7881999015808105
2024-03-19,2.760699987411499
2024-03-20,2.69569993019104
2024-03-21,2.668800115585327
2024-03-22,2.65339994430542
2024-03-25,2.6786000728607178
2024-03-26,2.621799945831299
2024-03-27,2.598599910736084
2024-03-28,2.615600109100342
